,term,weight
1309,great,0.0175362584463682
1811,mayo,0.0156443039796191
1688,lettuce,0.0149905706583791
3033,tomato,0.0143225868512221
1989,nugget,0.0142784243022058
3326,worst,0.0133608975701663
1319,grilled,0.0129910176286042
2532,sauce,0.0128899895247448
3340,wrong,0.012883604087681
1767,lunch,0.0127911809440467
2308,quick,0.0125471545590421
1756,love,0.0123733878525972
1959,nice,0.0120419295046168
1222,friendly,0.011960820471126
1738,long,0.0119107955850684
2800,staff,0.0118968013019562
1227,frosty,0.0115024080222596
332,best,0.0110653128710221
2809,star,0.0108520794861056
1889,money,0.0101040823671753
3314,work,0.0101029062433946
2025,old,0.010020157034288
1740,look,0.0099303032415675
2944,tasted,0.0098482397401635
1368,hard,0.0098382889328365
519,cheeseburger,0.0097026607553961
597,combo,0.0096762915240392
2458,review,0.009658765871849
3226,waited,0.0094002211181295
274,avoid,0.0092508373601678
1990,nuggets,0.0091985567980079
800,delicious,0.0091375722915048
2140,person,0.0091070101235602
2698,small,0.0088763406952678
533,chili,0.0087422453209098
289,bag,0.0087411528196209
2354,receipt,0.0086612321706278
2515,salt,0.008653859254365
1324,gross,0.0086369688424615
939,dry,0.0083504386156277
1207,french,0.0082092499948565
2643,sick,0.0081696301230055
2694,slow,0.0081444412601268
2356,received,0.0080287995636894
2251,problem,0.0079597622646913
1220,friend,0.0079082421693865
965,eating,0.0078536567223954
2929,table,0.0078370527823233
855,dirty,0.0077835507122916
1203,free,0.0077834464923162
