,term,weight
475,salad,0.0306775312126401
383,new,0.0285641535965904
91,charbroiled,0.019567776476567
553,super,0.0195250599274551
646,zero,0.0191558518608398
394,offer,0.0187101731922359
508,slab,0.0186948201476198
218,expensive,0.0174826554290243
150,crisp,0.0174709175585592
377,nasty,0.0173498535858175
405,paid,0.0166175638676225
299,impressed,0.0166174115880758
396,onion,0.0163794920995955
480,sauce,0.0162699098756128
588,tough,0.0161012701678107
175,disgusting,0.0161012701678107
99,chew,0.0161012701678107
104,chipotle,0.0158138720090321
267,green,0.015309359122309
639,wow,0.0151633590125628
426,pleased,0.01509325483966
424,pleasant,0.0150604032648807
71,burrito,0.0144928134088124
647,zucchini,0.0141910765413236
510,slimy,0.0141172152830324
308,jalapeño,0.0141172152830324
158,deal,0.0135363443103501
572,terrible,0.0133224317363099
188,dry,0.0132714896467886
418,pieces,0.012935104214345
610,waiting,0.0127393705776573
219,experience,0.0124617485343192
555,surprised,0.0123957177572923
340,lost,0.0123864428680259
95,check,0.0123091732293144
197,employee,0.0122043512933394
476,sandwhich,0.0122043512933394
362,milkshake,0.0121260972064659
347,lying,0.0120443290509192
352,meat,0.0119305343600858
419,pink,0.0117278404048924
609,waited,0.0115387982601135
526,sprouts,0.0113853173213756
406,pallet,0.0113853173213756
463,reviews,0.0113853173213756
373,mouth,0.0112591476729833
511,slow,0.0112591476729833
142,coupons,0.0112591476729833
304,interesting,0.0112591476729833
575,texmex,0.0112591476729833
