,term,weight
426,free,0.0207392593656898
468,great,0.0196346729352932
158,care,0.0177479806390926
313,donut,0.0173219913993807
1102,walked,0.0172374619459698
1101,waited,0.0167224495952106
200,cold,0.0166552604231796
105,biscuit,0.0163377056545052
865,sandwiches,0.0159389326733066
616,mashed,0.015855388964081
828,remember,0.0155660979961075
526,ice,0.0155306251282998
755,popeyes,0.0148277127041639
300,disgusting,0.0148261291656582
607,lunch,0.014414502380188
1015,tender,0.0137775180709972
806,ready,0.0137309346611171
84,bad,0.0135628658626267
603,love,0.0134423304575642
753,popcorn,0.0133269901304927
1116,wellbeing,0.0131845359177944
870,scary,0.0131845359177944
491,health,0.0131845359177944
277,delicious,0.0128825455331583
774,problem,0.0128771784165216
205,colonel,0.0128501913457649
860,sad,0.012769882291513
816,recipe,0.0127096644858008
452,glad,0.0126729451758842
207,combo,0.0125531758786906
555,kid,0.0124923345882639
148,busy,0.0124761916569584
131,breast,0.0124374864544177
429,fresh,0.0122814392155494
1139,worth,0.0118302805178328
825,regular,0.0118244640667721
1095,visit,0.0117948281530111
622,mayo,0.0115342874297456
680,offer,0.0114568845423896
694,option,0.0112259455311102
1044,tiny,0.0111074458930478
454,glaze,0.0110024444127741
567,large,0.0109445349984954
669,night,0.01094282483931
1007,tasted,0.010641439628964
467,greasy,0.0105788033406239
636,mess,0.0104350186742136
925,snacker,0.010434066898744
1128,won,0.0103288378504418
748,point,0.0102913343746469
