,term,weight
2006,sauce,0.0156607406315256
750,dry,0.0150653645051215
1424,mayo,0.0146664365074826
2329,tasted,0.013193217495586
473,coffee,0.0130549867195345
2335,tea,0.0130201111869489
1576,nugget,0.0118146507758324
1396,lunch,0.0114190029708271
848,extra,0.011345820066753
357,busy,0.0111915610907657
264,better,0.0111565890685277
1972,rude,0.0111321697615744
737,drink,0.0110604580065659
1150,horrible,0.0109279519717551
414,check,0.010729319417213
2001,sandwiches,0.0106487226391392
1283,kid,0.0106136455183092
1076,hard,0.0105253266326632
2129,slow,0.0105234876500097
1520,money,0.0105126589318009
566,coupon,0.0103725088597575
1606,old,0.01007396383897
1676,pay,0.0099692978188452
959,friendly,0.009795405900641
1157,hour,0.0097770871745679
1787,problem,0.0097208000489532
895,finally,0.0096031025734497
266,big,0.0094850980823166
262,best,0.0092617496690864
787,employee,0.0089572080661631
1411,management,0.0089324780173743
419,cheeseburger,0.0086908249290366
448,clean,0.0086759365588768
1506,missing,0.0086633334785771
273,biscuit,0.0084652502995512
899,fine,0.0084114952154478
1773,pretty,0.0084040198144803
1873,receipt,0.0082339280999251
221,bacon,0.0081854265564948
316,breakfast,0.0081505787844431
1177,ice,0.0080937911242257
201,attitude,0.0080914938171416
2328,taste,0.0080440410761221
418,cheese,0.0079318751573865
1075,happy,0.0078513437559939
178,artisan,0.0078404162923304
215,awful,0.0077541601006546
378,care,0.0077468809541935
1179,iced,0.0077307650379453
555,correct,0.0076414350045193
