,term,weight
0,00,0.0023673284757118503
1,000,0.0016905685618732015
2,04,0.0013869619762989019
3,100,0.0014207626543818511
4,10mins,0.0018378590871498041
5,11,0.004548228553345805
6,12,0.0018288000088197299
7,12114,0.0005556534022023368
8,13,0.003623674577607417
9,13pm,0.0016597882100602983
10,14,0.0014540361597022845
11,1400,0.000534967751779539
12,15,0.01064988696967821
13,15pm,0.0009196127315551433
14,16,0.0009631508289095124
15,17,0.0012683137734483011
16,19,0.0014434728057301988
17,192,0.00048780775418395974
18,1989,0.0007800791491425844
19,1am,0.0005844049513572567
20,1st,0.0007219703643090004
21,20,0.005403267443767123
22,200,0.000534967751779539
23,2000s,0.0007800791491425844
24,2010,0.0005556534022023368
25,2019,0.0007330832030616948
26,205,0.0012786276403615245
27,207,0.0005556534022023368
28,22,0.002158330692760245
29,23,0.0007764992926940038
30,24,0.001025761250386478
31,24hrs,0.0009208923776792781
32,25,0.0014438664869793952
33,25min,0.00042874638242996436
34,27,0.0007084729054142241
35,29,0.0005010440445887836
36,2fer,0.000737019584062783
37,2min,0.0012503466743741124
38,2nd,0.001233577822679229
39,30,0.005271628385630717
40,30pm,0.0016597882100602983
41,31,0.0012503466743741124
42,32,0.0005534641369846073
43,329,0.0006036070412497503
44,34,0.0009196127315551433
45,347,0.0006036070412497503
46,35,0.0014914042314800647
47,37,0.0007939064523782837
48,3pm,0.0005904846476958137
49,3rd,0.00195207790460536
50,40,0.00042874638242996436
51,40year,0.00045626476916532237
52,42,0.0006036070412497503
53,434,0.0007800791491425844
54,45,0.001763401063801147
55,49,0.0023356220971048488
56,4th,0.0005556534022023368
57,50,0.004985485675311872
58,50pm,0.0005556534022023368
59,51,0.0010566372699448686
60,5months,0.00045626476916532237
61,60,0.0011163820402454794
62,6mins,0.00042874638242996436
63,6pm,0.0007660380899740536
64,7017,0.0005556534022023368
65,79,0.00046820439901812595
66,82nd,0.0005556534022023368
67,88th,0.00041894986457550706
68,90,0.0007800791491425844
69,90s,0.0005380629208983381
70,910,0.0010610075439947502
71,930,0.0012225612811028787
72,9400,0.0005556534022023368
73,97266,0.0005556534022023368
74,99,0.0029357877752477606
75,9pm,0.0007422831231525162
76,able,0.0022936797381238987
77,abomination,0.00041894986457550706
78,absence,0.0010097278378592295
79,absolute,0.0008219106593748689
80,absolutely,0.004747749711509711
81,absurd,0.0021032824529384404
82,abviously,0.0008701854561225309
83,acceptable,0.000737019584062783
84,accepted,0.000592438605972064
85,accepting,0.0004984920076926989
86,accidentally,0.0009122924818164215
87,accompanied,0.0008699750749745133
88,accordingly,0.0007608662231845043
89,accurate,0.001811722689295683
90,accused,0.0006526370450591999
91,aces,0.0008561334553310254
92,ache,0.0011628691898886018
93,acknowledged,0.0005208721680555024
94,acquire,0.0007058387545071331
95,act,0.0006572810231141241
96,acted,0.0005380629208983381
97,action,0.0007951058436988267
98,activity,0.0010353549863782092
99,actual,0.00046820439901812595
100,actually,0.008932252225149026
101,ad,0.0007246737091088327
102,add,0.006404693075025334
103,added,0.00529098194248486
104,adding,0.000604980606214363
105,additional,0.001140168164321104
106,address,0.0005904846476958137
107,adequate,0.0015558419231834287
108,admit,0.00041894986457550706
109,admits,0.0006572810231141241
110,adorned,0.0005380629208983381
111,ads,0.000504550462662257
112,adults,0.000604980606214363
113,advantage,0.0007674392836729867
114,adventure,0.0005211814011823711
115,advertised,0.0030784179874479792
116,advertisements,0.0013372532193942496
117,advertising,0.0007608662231845043
118,advice,0.0005584693368405901
119,advised,0.00158367062782981
120,aforementioned,0.0007951058436988267
121,afraid,0.001025761250386478
122,afterlife,0.00032989447298055854
123,afternoon,0.0011498833628039897
124,ago,0.007809062548566124
125,agreed,0.001770945444069038
126,agrees,0.0007660380899740536
127,ah,0.0008883381823856482
128,ahead,0.0035750367516955714
129,airplanes,0.0007952225730577326
130,airport,0.0064113756555607745
131,al,0.000323302684805377
132,alive,0.0015369875964154937
133,alleged,0.0005313517152101989
134,allegedly,0.00032989447298055854
135,allergen,0.0007608662231845043
136,allergic,0.0017468382094839934
137,allergy,0.001777393620872648
138,allow,0.0009992693876240317
139,allowed,0.0014001111866274005
140,alright,0.0008045504573632659
141,alteration,0.00042663379238721855
142,amazement,0.0003180609621484647
143,amazing,0.003652050605902353
144,amends,0.0005025193535418738
145,america,0.0007551377741259412
146,amidst,0.0009992693876240317
147,amusement,0.00048780775418395974
148,andresen,0.00041894986457550706
149,angie,0.0008561334553310254
150,angry,0.0010000976042583288
151,announcing,0.0021032824529384404
152,annoyed,0.0009183938587004421
153,annoying,0.0013825930479477904
154,answer,0.0021979289094065666
155,answered,0.0014270112123163981
156,answering,0.001407255531627405
157,anymore,0.0039309277086242
158,anythingelseforyou,0.000323302684805377
159,anytime,0.0006850615842529428
160,anyways,0.001617781363830739
161,anywhoo,0.000592438605972064
162,apart,0.0006411535675273894
163,apartment,0.0007113744493323074
164,apathetic,0.0005313517152101989
165,apetite,0.0006411535675273894
166,apologies,0.00048098205272905455
167,apologize,0.0016377711444604162
168,apologized,0.0022102854370055335
169,apologizing,0.0005208721680555024
170,app,0.0033490329148236466
171,appalled,0.0011903785879067825
172,appalling,0.0007951058436988267
173,apparently,0.001884946990175295
174,appealing,0.000760292373742011
175,appear,0.0007695998615144689
176,appeared,0.001596084925814142
