,term,weight
0,00,0.0017664702581187451
1,10,0.008766538599458716
2,100,0.0020351217851776473
3,11,0.0010686900128857397
4,12,0.003277306042842208
5,13,0.0007310664417686455
6,14,0.0006377133279571321
7,15,0.005018969424628736
8,17,0.0006059438833705194
9,18,0.0009218291608734602
10,19,0.0005464884573587826
11,1967,0.00038204227539216103
12,1st,0.0008487464275435919
13,20,0.0036851153783604785
14,2017,0.0005932728448266395
15,2019,0.0004332265514389524
16,24,0.0014568748653321433
17,25,0.0015022890050168968
18,26,0.0005898767756119381
19,2nd,0.0010240873933996986
20,2pm,0.0006389535558325068
21,30,0.004548295166956023
22,30pm,0.0007281127283434141
23,365,0.0005764830794934658
24,3rd,0.000574793725310224
25,40,0.0017420771466335652
26,45,0.0012219330145357718
27,50,0.0019115664110998353
28,55,0.000489807317180734
29,60,0.0013200733719421905
30,71,0.0005235402699096558
31,80,0.0008892825336995153
32,90,0.0010874361739961638
33,ability,0.0003738077435435506
34,able,0.0038404416892940177
35,absolute,0.0008095358875872417
36,absolutely,0.005152576013641471
37,absurd,0.0005191704384059947
38,acceptable,0.0009625202884635958
39,access,0.0005635787879769655
40,accessible,0.00042538777249591375
41,accident,0.0007720953072043827
42,accommodate,0.000866315223966729
43,accommodating,0.0008708323656059565
44,according,0.0010622844922401056
45,account,0.0006754785573321193
46,accuracy,0.001044095894671257
47,accurate,0.0007831355379870502
48,act,0.0007310640640612236
49,actual,0.001236925335162639
50,actually,0.00794951673665501
51,ad,0.000508148814291871
52,add,0.005567552825373049
53,added,0.0021087094292857253
54,addicted,0.0007400642834280867
55,addicting,0.0008450222468474272
56,addiction,0.0009702831288601564
57,addictive,0.0008117103494936714
58,adding,0.0007944978025012317
59,addition,0.00233074601385193
60,additional,0.0007183055763495986
61,additionally,0.0003838034256421764
62,adequate,0.000873578482868297
63,admit,0.0023867708793351896
64,adult,0.001008752359753642
65,advantage,0.0006170425784934119
66,adventure,0.0007085096838122781
67,advertised,0.0005374462097880456
68,advice,0.0005389774325270212
69,affordable,0.0011335262956116312
70,afternoon,0.002516588715554774
71,aftertaste,0.0006637217083846499
72,age,0.0006221568670299773
73,agenda,0.000689443966788143
74,ago,0.005300560964851399
75,agree,0.0013147702503156769
76,agreed,0.0007446073591551514
77,ahead,0.001055920843202712
78,ain,0.0009094922586484343
79,airport,0.007939509160223986
80,allergic,0.0008436025565956769
81,allows,0.0008931314998133125
82,alternative,0.0009353267366639548
83,amazed,0.001253939826217255
84,amazing,0.013515913385965826
85,ambiance,0.00035910633903158887
86,america,0.0013640008429704176
87,american,0.0012524994640359948
88,ample,0.0003051923387505465
89,angry,0.001056075315216481
90,annoyed,0.0005261923269892363
91,annoying,0.0012640969848591167
92,answer,0.0009995391463638442
93,answered,0.0009147510059883518
94,anti,0.0008490402022652362
95,anymore,0.0031792971499501146
96,anytime,0.0007744416959973542
97,anyways,0.0017581447512729574
98,apart,0.001434911368808019
99,apologetic,0.001125255762293991
100,apologize,0.000672916021168504
101,apologized,0.00042360508829028006
102,apology,0.0008381582598314813
103,app,0.006627249916317841
