,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
39852,LBT-tiSt2DkjlXoACiphNw,Popeyes,Atl Concourse C,Concourse C,GA,30337,33.6397421,-84.4195644,2.0,8,1,"{'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'GoodForKids': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'""}","Fast Food, Food, Restaurants",
50831,c32IpmTXxiDxKYKvhJiSuQ,Popeyes,6000 N Terminal Pkwy,Atlanta,GA,30320,33.6407368,-84.4293048,3.5,92,0,"{'RestaurantsGoodForGroups': 'False', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'HasTV': 'True', 'WiFi': ""u'paid'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'DriveThru': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsTableService': 'False'}","Fast Food, Chicken Wings, Restaurants","{'Monday': '10:0-1:0', 'Tuesday': '10:0-1:0', 'Wednesday': '10:0-1:0', 'Thursday': '10:0-1:0', 'Friday': '10:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-0:0'}"
109385,RFvqNIP3_jnsSaicV7443A,Popeyes,81 Geneva Dr,Oviedo,FL,32765,28.6713204,-81.2080246,3.5,10,0,"{'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True'}","Fast Food, Chicken Wings, Restaurants","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
761,IpNJfLJ6R3RjZJF_ucGaZA,Popeyes,4932 State Route 46,Sanford,FL,32771,28.811882,-81.344261,1.5,49,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","Chicken Wings, Restaurants, Fast Food, American (Traditional)","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
1441,X3i217AeA8VBkf7are9A6w,Popeyes,20295 SW Tualatin Valley Hwy,Aloha,OR,97006,45.496235,-122.886416,1.5,105,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'True', 'WiFi': ""u'paid'"", 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DriveThru': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Food, Chicken Wings, Restaurants, American (Traditional), Fast Food","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
2119,252DlOgnPandEneK1vykGA,Popeyes,16530 Sr 50,Clermont,FL,34711,28.545769,-81.680504,1.5,54,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True'}","Chicken Wings, Chicken Shop, Comfort Food, Restaurants, Fast Food","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}"
3061,O5jNjj55DNpMaU32As7azg,Popeyes,8111 SE Foster Rd,Portland,OR,97206,45.483279,-122.5793376,2.0,99,1,"{'BikeParking': 'True', 'RestaurantsReservations': 'False', 'DriveThru': 'True', 'BusinessParking': ""{'garage': None, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""'no'"", 'RestaurantsTableService': 'False', 'NoiseLevel': ""u'loud'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'DogsAllowed': 'False'}","Cajun/Creole, American (Traditional), Restaurants, Food, Fast Food, Desserts, Chicken Wings","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
3400,jp4ZW-QUugvQ0junQumhcw,Popeyes,683 Boulevard NE,Atlanta,GA,30308,33.77323514,-84.3708277064,2.5,92,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Chicken Wings, Fast Food, Restaurants","{'Monday': '10:0-2:0', 'Tuesday': '10:0-2:0', 'Wednesday': '10:0-2:0', 'Thursday': '10:0-2:0', 'Friday': '10:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-2:0'}"
3969,-sXyVaFZKijcE1H-o6xvhw,Popeyes,180 Boston St,Lynn,MA,01904,42.4713166541,-70.9585382267,2.0,42,1,"{'RestaurantsTableService': 'False', 'NoiseLevel': ""'average'"", 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Caters': 'False', 'DriveThru': 'True', 'RestaurantsPriceRange2': '1', 'Alcohol': ""'none'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'GoodForMeal': 'None', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'OutdoorSeating': 'None'}","Fast Food, Cajun/Creole, Restaurants, Chicken Wings","{'Monday': '10:30-23:0', 'Tuesday': '10:30-23:0', 'Wednesday': '10:30-23:0', 'Thursday': '10:30-23:0', 'Friday': '10:30-0:0', 'Saturday': '10:30-0:0', 'Sunday': '10:30-22:0'}"
7385,sGiYngNDwZhjdNO1dafOLA,Popeyes,600 Orlando Ave,Winter Park,FL,32789,28.5927024,-81.3646246,2.5,33,1,"{'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Alcohol': ""'none'"", 'WiFi': ""'no'"", 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'False', 'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'False', 'RestaurantsDelivery': 'True'}","Chicken Wings, Restaurants, Fast Food","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:0'}"
