,term,weight
1689,sandwiches,0.0156941279214161
746,favorite,0.0151132360963758
333,cheese,0.014283627113339
546,deluxe,0.0140210287604887
362,clean,0.0137771372579646
1571,quick,0.0137309543359902
84,amazing,0.0135159133859658
1333,nuggets,0.0133211439948959
811,free,0.0130800289402686
819,fried,0.0130431834662344
243,breakfast,0.0129210820708617
1682,salad,0.0128605113429248
2202,wrong,0.0127717002632092
264,bun,0.0126435809525858
1258,minute,0.012578755862371
1925,super,0.0122502595730499
1962,taste,0.012099514812617
1231,menu,0.0120676021465451
1944,sweet,0.0114215981782055
1621,regular,0.0114190265344975
1053,inside,0.0113998337754119
152,awesome,0.0111425304309839
1381,original,0.0111384037306516
158,bad,0.0109022214961738
1968,tea,0.0108031170310699
1453,pickle,0.0107522244206576
1946,table,0.0105240655734307
1310,new,0.0103803394579634
537,definitely,0.0102171536457565
1865,star,0.0101604791476721
716,extra,0.0100534728827362
1650,review,0.0100056084712235
1967,tasty,0.0099786032495363
497,crispy,0.0099737634630008
2107,visit,0.0099668885158668
384,cold,0.0098355807922848
1609,recommend,0.0096207220931283
1411,parking,0.009410079166372
620,drink,0.0093837401645689
2182,work,0.0093272282910681
1013,ice,0.0092919523478149
317,chain,0.0091792531159398
646,eating,0.0090446039890425
202,biscuit,0.0089338812439472
926,happy,0.0088498461115372
2112,waiting,0.0087413862620201
1454,pickles,0.0084896953588092
1197,manager,0.0084661986770211
1191,mall,0.008423220730677
1247,milkshake,0.0083834774260448
