,term,weight
146,best,0.0169947951124037
584,fresh,0.0165145059404222
1116,pretty,0.016144905675296
964,nice,0.0157526709428415
897,mayo,0.0155072648323689
464,eat,0.0152750759853544
590,fries,0.0152441906080866
1473,tender,0.015070976711059
365,crispy,0.0147377230457512
881,manager,0.0142413970909505
1507,told,0.0142303994906133
394,delicious,0.013899065087141
705,hot,0.0138318254829157
857,love,0.0136410527494425
121,bad,0.013343643387484
1222,rice,0.013332830195683
1391,star,0.0128988510513523
1190,regular,0.0127738302571954
1337,slow,0.0127207746424291
1239,rude,0.0124930311650922
213,cajun,0.0121961471997683
151,biscuit,0.0121191918630324
1652,wrong,0.0119309826185206
286,cold,0.0118952484130268
1464,taste,0.0116305362799945
272,classic,0.0112824683182523
706,hour,0.0110739524571403
588,friendly,0.0110198188839893
573,forgot,0.0106359621728029
1644,worst,0.0106157254649312
1437,super,0.0105631546029331
207,busy,0.0104910080671504
1036,parking,0.0104238901954936
745,inside,0.0104039501125784
797,large,0.0103127154939624
865,lunch,0.0101186639756264
1545,understand,0.0097398389160614
419,disappointed,0.0096886673511188
138,bean,0.0095692371088075
292,combo,0.0094738086936201
231,cashier,0.0093770860567975
511,extra,0.0093493384886693
445,drink,0.0092308062111234
560,flavor,0.008959429303428
147,big,0.0089316260414697
890,mashed,0.0088277152080936
1220,review,0.0088071522326567
990,old,0.0087397972173078
938,money,0.0086766940349844
1064,pickles,0.0085815399821424
