,term,weight
0,00,0.0024697987128428638
1,10,0.00967800615869705
2,100,0.0020974243849711106
3,11,0.002424991530118317
4,12,0.0037524028009339795
5,13,0.0011738978553976758
6,15,0.005313302535645123
7,16,0.0007357743650014883
8,17,0.001082339210093761
9,19,0.0011399712797402822
10,1st,0.0009571656473449426
11,20,0.004323135510403693
12,2017,0.0006402973628358791
13,2019,0.0007477884982909138
14,24,0.0012147122719128008
15,25,0.0015976492983598143
16,29,0.0006336168188759163
17,2nd,0.0010333436099517579
18,30,0.005413705815742118
19,30pm,0.0007382941301125822
20,366,0.0003503570517313209
21,3rd,0.0007059277353018842
22,40,0.000941719929186223
23,45,0.0013234597983743258
24,49,0.0006509015542105023
25,50,0.002953496839195092
26,60,0.0010687216952060183
27,80,0.0007623543314454913
28,90,0.0011870801712446856
29,95,0.0005641602601982897
30,99,0.003771726768316978
31,able,0.005347405053234248
32,absolute,0.0010572767320035721
33,absolutely,0.004799340405910722
34,access,0.0009685052125139527
35,accessible,0.000989090402538745
36,accommodating,0.0012134859051950047
37,accompanied,0.0009842067405735563
38,according,0.0008027703024367966
39,account,0.0006545855454850356
40,accuracy,0.0009754144516569622
41,accurate,0.0010060433165727733
42,acknowledged,0.0007358039383452006
43,act,0.0007579136979347543
44,action,0.0005669397533164571
45,actual,0.0011178134927403297
46,actually,0.009433008270691417
47,ad,0.0006584951641758912
48,add,0.0065792288090707534
49,added,0.0037500835207097184
50,addicted,0.0006846238519905548
51,addicting,0.0007899137944489289
52,addiction,0.0009064261889483163
53,addictive,0.0007589694498606953
54,addition,0.001940452005786391
55,additional,0.0009699753565949979
56,adequate,0.0006640923153931406
57,adjacent,0.00044320817120317143
58,admit,0.0023269711265780776
59,adoption,0.0007662548012804867
60,adult,0.0009934553022505478
61,advantage,0.0006646808170831434
62,adventure,0.0008412299940325702
63,advertised,0.0010848743128334852
64,affordable,0.0012580943999489142
65,aforementioned,0.0005320501366365832
66,afternoon,0.0025023506337627775
67,age,0.0007741424957033027
68,ago,0.005314168227844292
69,agree,0.0012622900376533996
70,agreed,0.0007101211485073558
71,ahead,0.001580539383914119
72,airport,0.007041665434811667
73,allows,0.000612002292162635
74,alright,0.0011496990837332874
75,alternative,0.0011570470028573043
76,amazed,0.0008668777884272478
77,amazing,0.013284109014045706
78,america,0.0015556934625649288
79,american,0.0011730319016270707
80,angry,0.0006745240217376637
81,annoyed,0.0005865001241527638
82,annoying,0.0012770796962752547
83,answer,0.0006959422009065006
84,answered,0.0006063255074074559
85,anti,0.0006037815967783246
86,anymore,0.0024817334246589676
87,anytime,0.0005904766847244379
88,anyways,0.0020058907248586477
89,apart,0.0011553350194274496
90,apologetic,0.001053365089078259
91,apologize,0.0013133043479409611
92,apologized,0.0007752309200103648
93,apology,0.0009401396363558124
94,app,0.007048422103146752
95,apparently,0.002509946562854465
96,appear,0.000561966440334432
97,apple,0.002430900642131968
98,appointment,0.0007222417373145454
99,appreciate,0.0022449920078256866
100,appreciated,0.0015471920734692795
101,aren,0.003637597507199323
102,arnold,0.0010166186676848854
103,arrival,0.0005778379223468889
104,arrived,0.00280628172870592
105,arriving,0.0006498202466842682
106,aside,0.0024582087178397828
107,ask,0.008577451176871068
108,asked,0.009618221694267397
109,asking,0.0022191815319819916
110,asks,0.00043535866451649587
111,associate,0.0011097920531620408
112,assume,0.001041696075458299
113,assumed,0.0005262277977828135
114,ate,0.005497015856807694
115,atl,0.0025752975497081534
116,atlanta,0.004275613149536272
117,atmosphere,0.0015820792353703555
118,attempt,0.0009584472726508566
119,attendant,0.0007254067223404773
120,attention,0.001797189214802337
121,attentive,0.002358860416760444
122,attitude,0.002074168954804304
123,austin,0.001700918631897712
124,authentic,0.0008377363990661982
125,available,0.0038566235867053327
126,average,0.0029174940539825607
127,avocado,0.0014945043634285859
128,avoid,0.001311820874507653
129,aware,0.0010482512880441812
130,away,0.006480627580254648
131,awesome,0.01273660058596574
132,awful,0.001076684860176783
133,awhile,0.0016064826097182971
134,baby,0.001012517458641061
135,backed,0.0014282737471862355
136,bacon,0.005967779311423477
137,baconator,0.0010054988801089441
138,bad,0.009022951171198558
139,bag,0.006566774585356522
140,bagel,0.0009631468637753649
141,bagged,0.0005172915450961759
142,baked,0.0015737877942242854
143,balance,0.0011479786464146406
144,banana,0.0011177315445596004
145,bar,0.0012718786624152311
146,barbecue,0.0012413191114100765
147,barely,0.0022934392058837744
148,based,0.001470358399358352
149,basic,0.002462040944125161
150,basically,0.001423733946468457
151,basis,0.0006744522840118692
152,bathroom,0.002646681256306523
153,bathrooms,0.0006336780008044392
154,batter,0.000812003331493604
155,bay,0.000791551617055296
156,bbq,0.004193485282869921
157,bc,0.0011991065367920602
158,bean,0.0014242647691728111
159,beat,0.0020664891038116194
160,beaverton,0.0005665700614161892
161,beef,0.0012602936983430839
162,began,0.0008583907959350561
163,begin,0.0009254227009535955
164,belief,0.0012631125186021099
165,believe,0.005086087012317961
166,bell,0.0016742034150088508
167,belly,0.0009871015823314734
168,benefit,0.0014385252088685374
169,bet,0.0006980267811949856
170,beverage,0.0013363999579501882
171,beware,0.0008337001381784656
172,big,0.007878788162919015
173,bigger,0.0021134257145582853
174,biggest,0.000868241953984894
175,bird,0.000979920583796948
176,birthday,0.0007476211917847641
177,biscuit,0.008577101464693556
178,biscuits,0.0015124019856891755
179,bit,0.008020251667884613
180,bite,0.005802716517195696
181,bk,0.003518321705158934
182,black,0.0007630656128087863
183,blame,0.0007842304241274032
184,bland,0.0016611085342457526
185,block,0.0013849691580036878
186,blow,0.0007770645973921658
187,blown,0.0010598362857696072
188,board,0.0009259431938367373
189,bomb,0.003628230732340546
190,bone,0.0005377929794717683
191,bonus,0.0013500466015616732
192,book,0.00195952433731401
193,booth,0.0004968294653925017
194,boston,0.002869868728466755
195,bother,0.0011845370959150516
196,bottle,0.0007058092141879121
197,bought,0.0009278392629735519
198,bowl,0.0007695351378331173
199,box,0.0038467844410024206
200,boy,0.0023680743418796582
201,boyfriend,0.0034462401734805274
202,branch,0.0013793624018736204
203,brand,0.0020193356497040056
204,bread,0.004184431524373728
205,breaded,0.0023950298775724512
206,breading,0.003312280411837807
207,break,0.001496378949460183
208,breakfast,0.010821958459536695
209,breast,0.005474027005375187
210,bring,0.004429744958927443
211,brings,0.0011091257572283613
212,brioche,0.000555675555912976
213,brought,0.004783348105014572
214,brown,0.0021914494802928934
215,browns,0.0007750209717898617
216,btw,0.001737458063826065
217,buck,0.0014771767640432971
218,buffalo,0.0025352998487488372
219,build,0.0011820189575738914
220,building,0.003738648909290507
221,built,0.0005323430174701914
222,bum,0.0007376419309067872
223,bummed,0.0009433061269878175
224,bun,0.012243557552960386
225,bunch,0.0016803049776215188
226,burger,0.01195625112969921
227,burgers,0.002116262605305809
228,burlington,0.0031962574939158523
229,burn,0.0009038149295150634
230,burnt,0.0006982396927772217
231,burrito,0.0012295167081782514
232,busiest,0.0011157007305951073
233,business,0.004768512208702379
234,butter,0.001022706735769789
235,buttered,0.0011186199435915744
236,buttermilk,0.0025047962062657476
237,buttery,0.0022561870485519617
238,button,0.001017398184246647
239,buy,0.003811383013853016
240,cajun,0.003611248039865293
241,cake,0.0009154574183061281
242,calendar,0.0011803785632469419
243,california,0.000804859843411647
244,called,0.002754456437508022
245,calling,0.0007552777004711978
246,calorie,0.0017225866933151413
247,calories,0.0006973269927885091
248,campaign,0.0008060323554366176
249,campus,0.0016356519943624196
250,car,0.008016587574719887
251,carbs,0.0007178512408697814
252,card,0.004248847392537929
253,care,0.004769680295484464
254,careful,0.0010361195397072817
255,carl,0.0019220849147790293
256,carrot,0.0006797720364959456
257,carry,0.0014855830493535384
258,cars,0.0018707679419708422
259,case,0.0018248402956104414
260,cash,0.0016211513571774603
261,cashier,0.00774310873228344
262,casual,0.0008189584963491425
