,term,weight
0,00,0.002643467808211396
1,000,0.001524078885052302
2,008,0.0003118183466887136
3,00am,0.00043230612686801607
4,02,0.0004469476308259956
5,05,0.0004469476308259956
6,100,0.0011662424036938946
7,1030,0.0010286415256491536
8,104,0.0009711387267374174
9,10am,0.0007598855735844845
10,10cars,0.0007285552341020096
11,10mins,0.0007285552341020096
12,10th,0.0009088314420256152
13,1130pm,0.0010801195248736266
14,1145pm,0.001048483181740234
15,12,0.0052908261998951866
16,12am,0.0004469476308259956
17,138,0.0008916970903861926
18,13pm,0.0020233310081252086
19,13th,0.0008096936900336571
20,14,0.0009711387267374174
21,15,0.010315853210723785
22,15th,0.0004446495916845101
23,185th,0.0007285552341020096
24,19,0.0006466589206625662
25,1cm,0.0010059202183569605
26,1st,0.0005026336801634666
27,20,0.007174275592291739
28,2009,0.0003758941016486249
29,2016,0.0003758941016486249
30,2018,0.0003758941016486249
31,2019,0.0030444173523635253
32,2020,0.0009110192439466846
33,205,0.0005091437934614994
34,20th,0.0015135044566233946
35,22,0.0014833363987487968
36,233,0.0010765921037925005
37,24,0.001209897243888493
38,25,0.0008516169721485703
39,290,0.0003118183466887136
40,2fer,0.0008637121587887337
41,2nd,0.0005026336801634666
42,30,0.005134850977813435
43,30pm,0.0025491815652765684
44,326mins,0.0007285552341020096
45,35,0.0004446495916845101
46,360,0.0004540973021128417
47,3rd,0.0020151284900030704
48,40,0.0031207374803654026
49,410,0.0006236366933774272
50,430pm,0.0007598855735844845
51,440,0.0003118183466887136
52,45,0.0026730481250477178
53,48,0.0003758941016486249
54,49,0.0005091437934614994
55,4am,0.0009003350771001242
56,4min,0.0007598855735844845
57,4th,0.0004446495916845101
58,50,0.00327583269296495
59,510,0.0006236366933774272
60,55,0.0013090853840319122
61,56,0.0005091420141183879
62,5th,0.0004446495916845101
63,60,0.0023376204712944088
64,6pm,0.0006528059752759714
65,700,0.0006290000604768446
66,71,0.0021802762627730014
67,7mins,0.0010059202183569605
68,81,0.0015553547115839345
69,82nd,0.0012941700349625304
70,8pm,0.0005716677601992368
71,90th,0.00043230612686801607
72,93,0.0009812853723861659
73,99,0.002883809380862321
74,9pm,0.0011628554450178324
75,9th,0.0003758941016486249
76,able,0.0040905799449320645
77,absolute,0.0010440346483007186
78,absolutely,0.0046242170521076
79,absorbing,0.00064293795380154
80,absurd,0.0004540973021128417
81,abviously,0.0010171957510880063
82,accent,0.0010966350436747271
83,acceptable,0.0018366645645302225
84,accepting,0.0006679905663858473
85,accident,0.0009081946042256833
86,accidentally,0.0003698837358960854
87,accommodating,0.0010722292175043909
88,according,0.0009183712675973028
89,account,0.002050011481360898
90,accumulating,0.000443861402242726
91,accustomed,0.0008936517663957308
92,acknowledging,0.0009726790585780964
93,action,0.0004469476308259956
94,activity,0.0010131966078442153
95,actual,0.001649323015352088
96,actually,0.008921856603532383
97,ad,0.0007496246140731164
98,add,0.0019478341650389904
99,added,0.0034323301274737936
100,adding,0.001170025463385607
101,addressed,0.0009076128772066688
102,adequate,0.0010123437569020642
103,admittedly,0.0009932383994405805
104,adore,0.0013285758821404005
105,ads,0.000993267754892541
106,advantage,0.0008803874666777244
107,advertised,0.0015122646401208193
108,advertising,0.0023619456343886
109,affected,0.0010427596365417844
110,affixed,0.0003698837358960854
111,affordable,0.001311366834033705
112,aforementioned,0.0004446495916845101
113,african,0.0015274260423551633
114,afterlife,0.0004032608660473117
115,afterthought,0.0009726790585780964
116,agenda,0.000789478805509855
117,ago,0.004463124997751379
118,agreed,0.0008637121587887337
119,ahead,0.0036001963398991487
120,aid,0.0003758941016486249
121,aioli,0.0012354877024247845
122,airport,0.00828221518728313
123,airtran,0.0007926042797813739
124,ala,0.0007926042797813739
125,alas,0.0009932383994405805
126,album,0.0003758941016486249
127,alcoholic,0.0013415472845715168
128,alert,0.0003758941016486249
129,alive,0.0007311421941764375
130,allegedly,0.0004032608660473117
131,allergies,0.0008578659343889864
132,allergy,0.0010171957510880063
133,allow,0.0021543592941233895
134,allowed,0.002485073016172934
135,allows,0.0018459996639568826
136,allston,0.0007489357934344875
137,alright,0.0009365909961096327
138,altamonte,0.001488934225539792
139,alternative,0.0004469476308259956
140,altogether,0.0005716677601992368
141,amazing,0.008479820494807581
142,america,0.0009491599008819424
143,american,0.0015274260423551633
144,amidst,0.0009932383994405805
145,analysis,0.0008405932041722584
146,angle,0.0003758941016486249
147,angry,0.0005716677601992368
148,animal,0.0003758941016486249
149,annoyed,0.0014156877011218265
150,annoying,0.0023344325449426743
151,answer,0.0019424840647869139
152,answered,0.0019666126357842885
153,answering,0.0008224631699709095
154,anymore,0.0054080010162161395
155,apart,0.0009878082568058964
156,apartment,0.0003758941016486249
157,apologetic,0.002298929874583775
158,apology,0.0013329369221560905
159,apopka,0.0010322952630755229
160,app,0.00456037999613765
161,apparently,0.0017514533176466928
162,appear,0.0006290000604768446
163,appearance,0.0010506228342457798
164,appeared,0.0009946103366251875
165,appears,0.0023316513711652124
166,appease,0.0004540973021128417
167,appetite,0.0012995031519769619
168,appetizing,0.001879261696895021
169,applaud,0.0010440346483007186
170,apple,0.0035528791591776963
171,appologetic,0.0006808125362609232
172,appreciate,0.0004032608660473117
173,approve,0.0007595898030566355
174,april,0.0007606958283066466
175,aquarium,0.0004032608660473117
176,area,0.009825732948939701
177,aren,0.004100280243843447
178,argued,0.0005689790148146799
179,arguing,0.0009726790585780964
180,argument,0.0004028373490261182
181,arlington,0.0008096936900336571
182,arnold,0.0014220479476102974
183,arrival,0.0013796044389585312
184,arrive,0.0011822421195309396
185,arrived,0.001714377516784836
186,asiago,0.0004118292341415948
187,ask,0.006050967884922142
188,asking,0.003959068482060246
189,asks,0.0035846632090372624
190,ass,0.0010059202183569605
191,asshole,0.0004032608660473117
192,assisted,0.0004469476308259956
193,assumed,0.0008938952616519912
194,assuming,0.0004540973021128417
195,astonishing,0.0006154135148190297
196,ate,0.0027352785408190764
197,atic,0.0005091437934614994
198,atlanta,0.002201485169918721
199,atmosphere,0.0012809729136434148
200,atrocities,0.0007926042797813739
201,attached,0.0007264078213949388
202,attack,0.0004032608660473117
203,attacker,0.0004032608660473117
204,attempt,0.0029336989443829444
205,attempted,0.0005821526569490999
206,attendant,0.0007496246140731164
207,attended,0.0009297865627107604
208,attention,0.004780431482118972
209,attitude,0.00615198221375982
210,attitudes,0.0009003350771001242
211,attract,0.0014815852154750695
212,audacity,0.0008295180044606693
213,august,0.0006808125362609232
214,authentically,0.0010123437569020642
215,automotive,0.0004118292341415948
216,available,0.0068117599640657184
217,ave,0.0007489357934344875
218,average,0.005930960501249426
219,avocado,0.0009843835162373314
220,avoid,0.0011492415641247509
221,avoiding,0.0004540973021128417
222,awaited,0.0009711387267374174
223,aware,0.002328734736676228
224,away,0.006485333388486001
225,awesome,0.0036950246045710745
226,awful,0.00233506060251841
227,awhile,0.0029735702913873422
228,awkward,0.0013225002701668367
229,babes,0.0007981394542272259
230,background,0.0006869645722760498
231,bacon,0.005213392414654925
232,bag,0.010796851501838105
233,baggies,0.0004446495916845101
234,bagging,0.0006808125362609232
